    
 E (eV)=   300.000000000000     
       0     -3.40271774E-01      0.00000000E+00
       1      1.52540815E+00      1.52751713E+00
       2      8.12424002E-01      8.12927666E-01
       3      4.43227961E-01      4.43430565E-01
       4      2.45730511E-01      2.45828256E-01
       5      1.38554623E-01      1.38605537E-01
       6      7.93719817E-02      7.93996816E-02
       7      4.60916803E-02      4.61071899E-02
       8      2.70710938E-02      2.70799574E-02
       9      1.60505610E-02      1.60557048E-02
      10      9.59204681E-03      9.59506787E-03
      11      5.77080841E-03      5.77259991E-03
      12      3.49167962E-03      3.49275045E-03
      13      2.12299151E-03      2.12363585E-03
      14      1.29622395E-03      1.29661386E-03
      15      7.94286501E-04      7.94523591E-04
      16      4.88229555E-04      4.88374322E-04
      17      3.00909368E-04      3.00998078E-04
      18      1.85888686E-04      1.85943214E-04
      19      1.15063802E-04      1.15097409E-04
      20      7.13468614E-05      7.13676222E-05
      21      4.43057053E-05      4.43185558E-05
      22      2.75489745E-05      2.75569424E-05
      23      1.71489211E-05      1.71538690E-05
      24      1.06853527E-05      1.06884291E-05
      25      6.66355196E-06      6.66546696E-06
      26      4.15852744E-06      4.15972062E-06
      27      2.59686206E-06      2.59760613E-06
      28      1.62255018E-06      1.62301452E-06
      29      1.01427733E-06      1.01456729E-06
      30      6.34305045E-07      6.34486207E-07
      31      3.96825552E-07      3.96938791E-07
      32      2.48337034E-07      2.48407857E-07
      33      1.55455665E-07      1.55499966E-07
      34      9.73374184E-08      9.73651417E-08
      35      6.09605543E-08      6.09779045E-08
      36      3.81858361E-08      3.81967036E-08
      37      2.39237482E-08      2.39305551E-08
      38      1.49907415E-08      1.49950037E-08
      39      9.39453401E-09      9.39720293E-09
      40      5.88816531E-09      5.88983794E-09
      41      3.69084525E-09      3.69189662E-09
      42      2.31370935E-09      2.31436697E-09
      43      1.45055717E-09      1.45096913E-09
      44      9.09483335E-10      9.09740042E-10
      45      5.70225342E-10      5.70389970E-10

  TOTAL ELASTIC CROSS SECTION = 1.261400E-16 cm**2
               FROM DCS TABLE = 1.261375E-16  (REL. DIF. = 1.93E-05)

  1ST TRANSPORT CROSS SECTION = 3.840961E-17 cm**2
               FROM DCS TABLE = 3.840963E-17  (REL. DIF. = 4.14E-07)

  2ND TRANSPORT CROSS SECTION = 5.519077E-17 cm**2
