    
 E (eV)=   210.000000000000     
       0     -5.76869775E-01      0.00000000E+00
       1      1.36272636E+00      1.36386670E+00
       2      7.57178238E-01      7.57458327E-01
       3      4.43282203E-01      4.43404551E-01
       4      2.63014477E-01      2.63079058E-01
       5      1.57156092E-01      1.57192417E-01
       6      9.45612534E-02      9.45823002E-02
       7      5.72877941E-02      5.73002146E-02
       8      3.49248426E-02      3.49322682E-02
       9      2.14109980E-02      2.14154812E-02
      10      1.31915194E-02      1.31942471E-02
      11      8.16340483E-03      8.16507497E-03
      12      5.07184298E-03      5.07287106E-03
      13      3.16232409E-03      3.16295987E-03
      14      1.97807455E-03      1.97846934E-03
      15      1.24090918E-03      1.24115521E-03
      16      7.80505006E-04      7.80658838E-04
      17      4.92081025E-04      4.92177493E-04
      18      3.10897966E-04      3.10958622E-04
      19      1.96798645E-04      1.96836876E-04
      20      1.24784046E-04      1.24808194E-04
      21      7.92401836E-05      7.92554660E-05
      22      5.03854130E-05      5.03951013E-05
      23      3.20750392E-05      3.20811904E-05
      24      2.04394420E-05      2.04433528E-05
      25      1.30362558E-05      1.30387451E-05
      26      8.32083650E-06      8.32242263E-06
      27      5.31453233E-06      5.31554389E-06
      28      3.39629776E-06      3.39694339E-06
      29      2.17146271E-06      2.17187505E-06
      30      1.38890453E-06      1.38916803E-06
      31      8.88663164E-07      8.88831634E-07
      32      5.68750024E-07      5.68857775E-07
      33      3.64085181E-07      3.64154120E-07
      34      2.33110957E-07      2.33155081E-07
      35      1.49273778E-07      1.49302023E-07
      36      9.55983722E-08      9.56164601E-08
      37      6.12281370E-08      6.12397170E-08
      38      3.92170209E-08      3.92244396E-08
      39      2.51194773E-08      2.51242243E-08
      40      1.60897745E-08      1.60928131E-08
      41      1.03059510E-08      1.03078986E-08
      42      6.60113536E-09      6.60238678E-09
      43      4.22794507E-09      4.22874593E-09
      44      2.70779922E-09      2.70831186E-09
      45      1.73417856E-09      1.73450304E-09
      46      1.11057360E-09      1.11078288E-09
      47      7.11150576E-10      7.11284511E-10
      48      4.55297285E-10      4.55385179E-10

  TOTAL ELASTIC CROSS SECTION = 1.799898E-16 cm**2
               FROM DCS TABLE = 1.799860E-16  (REL. DIF. = 2.11E-05)

  1ST TRANSPORT CROSS SECTION = 4.624627E-17 cm**2
               FROM DCS TABLE = 4.624625E-17  (REL. DIF. = 4.38E-07)

  2ND TRANSPORT CROSS SECTION = 7.123663E-17 cm**2
