

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.20000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      2.84249580E-01      0.00000000E+00
       1     -1.36201280E+00     -1.36005360E+00
       2      7.00335913E-01      7.00636529E-01
       3      2.68485367E-01      2.68562963E-01
       4      1.09346108E-01      1.09372845E-01
       5      4.66509204E-02      4.66614204E-02
       6      2.05239273E-02      2.05283292E-02
       7      9.22278647E-03      9.22470257E-03
       8      4.20875335E-03      4.20960798E-03
       9      1.94313278E-03      1.94352058E-03
      10      9.05257062E-04      9.05435306E-04
      11      4.24742028E-04      4.24824772E-04
      12      2.00412402E-04      2.00451113E-04
      13      9.49889964E-05      9.50072195E-05
      14      4.51835330E-05      4.51921539E-05
      15      2.15543768E-05      2.15584713E-05
      16      1.03060722E-05      1.03080231E-05
      17      4.93693911E-06      4.93787095E-06
      18      2.36850117E-06      2.36894719E-06
      19      1.13767090E-06      1.13788473E-06
      20      5.47000720E-07      5.47103379E-07
      21      2.63213544E-07      2.63262880E-07
      22      1.26740089E-07      1.26763819E-07
      23      6.10595847E-08      6.10710040E-08
      24      2.94297764E-08      2.94352791E-08
      25      1.41899081E-08      1.41925589E-08
      26      6.84389555E-09      6.84517211E-09
      27      3.30166096E-09      3.30227552E-09
      28      1.59314044E-09      1.59343970E-09
      29      7.68876349E-10      7.69020177E-10
      30      3.71090922E-10      3.71164252E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  5.250E-03 2.14186E-16  1.585E-08  1.061E-08  1.008E-08 -9.843E-17  6.642E-17  1.00E-07
  5.500E-03 2.14186E-16  1.660E-08  1.061E-08  1.008E-08 -1.031E-16  6.959E-17  1.00E-07
  5.750E-03 2.14186E-16  1.735E-08  1.061E-08  1.008E-08 -1.078E-16  7.275E-17  1.00E-07
  6.000E-03 2.14186E-16  1.811E-08  1.061E-08  1.008E-08 -1.125E-16  7.591E-17  1.00E-07
  6.250E-03 2.14186E-16  1.886E-08  1.061E-08  1.008E-08 -1.172E-16  7.908E-17  1.00E-07
  6.500E-03 2.14186E-16  1.962E-08  1.061E-08  1.008E-08 -1.219E-16  8.224E-17  1.00E-07
  6.750E-03 2.14186E-16  2.037E-08  1.061E-08  1.008E-08 -1.266E-16  8.540E-17  1.00E-07
  7.000E-03 2.14186E-16  2.113E-08  1.061E-08  1.008E-08 -1.312E-16  8.856E-17  1.00E-07
  7.250E-03 2.14186E-16  2.188E-08  1.061E-08  1.008E-08 -1.359E-16  9.173E-17  1.00E-07
  7.500E-03 2.14186E-16  2.264E-08  1.061E-08  1.008E-08 -1.406E-16  9.489E-17  1.00E-07
  7.750E-03 2.14186E-16  2.339E-08  1.061E-08  1.008E-08 -1.453E-16  9.805E-17  1.00E-07
  8.000E-03 2.14186E-16  2.415E-08  1.061E-08  1.008E-08 -1.500E-16  1.012E-16  1.00E-07
  8.250E-03 2.14186E-16  2.490E-08  1.061E-08  1.008E-08 -1.547E-16  1.044E-16  1.00E-07
  8.500E-03 2.14186E-16  2.565E-08  1.061E-08  1.008E-08 -1.594E-16  1.075E-16  1.00E-07
  8.750E-03 2.14186E-16  2.641E-08  1.061E-08  1.008E-08 -1.640E-16  1.107E-16  1.00E-07
  9.000E-03 2.14186E-16  2.716E-08  1.061E-08  1.008E-08 -1.687E-16  1.139E-16  1.00E-07
  9.250E-03 2.14186E-16  2.792E-08  1.061E-08  1.008E-08 -1.734E-16  1.170E-16  1.00E-07
  9.500E-03 2.14186E-16  2.867E-08  1.061E-08  1.008E-08 -1.781E-16  1.202E-16  1.00E-07
  9.750E-03 2.14186E-16  2.943E-08  1.061E-08  1.008E-08 -1.828E-16  1.234E-16  1.00E-07
  1.000E-02 2.14186E-16  3.018E-08  1.061E-08  1.008E-08 -1.875E-16  1.265E-16  1.00E-07
  1.250E-02 2.14186E-16  3.773E-08  1.061E-08  1.008E-08 -2.344E-16  1.582E-16  1.00E-07
  1.500E-02 2.14186E-16  4.527E-08  1.061E-08  1.008E-08 -2.812E-16  1.898E-16  1.00E-07
  1.750E-02 2.14186E-16  5.282E-08  1.061E-08  1.008E-08 -3.281E-16  2.214E-16  1.00E-07
  2.000E-02 2.14186E-16  6.036E-08  1.061E-08  1.008E-08 -3.750E-16  2.530E-16  1.00E-07
  2.250E-02 2.14186E-16  6.791E-08  1.061E-08  1.008E-08 -4.218E-16  2.847E-16  1.00E-07
  2.500E-02 2.14186E-16  7.545E-08  1.061E-08  1.008E-08 -4.687E-16  3.163E-16  1.00E-07
  2.750E-02 2.14186E-16  8.300E-08  1.061E-08  1.008E-08 -5.156E-16  3.479E-16  1.00E-07
  3.000E-02 2.14186E-16  9.055E-08  1.061E-08  1.008E-08 -5.625E-16  3.796E-16  1.00E-07
  3.250E-02 2.14186E-16  9.809E-08  1.061E-08  1.008E-08 -6.093E-16  4.112E-16  1.00E-07
  3.500E-02 2.14186E-16  1.056E-07  1.061E-08  1.008E-08 -6.562E-16  4.428E-16  1.00E-07
  3.750E-02 2.14186E-16  1.132E-07  1.061E-08  1.008E-08 -7.031E-16  4.745E-16  1.00E-07
  4.000E-02 2.14186E-16  1.207E-07  1.061E-08  1.008E-08 -7.499E-16  5.061E-16  1.00E-07
  4.250E-02 2.14186E-16  1.283E-07  1.061E-08  1.008E-08 -7.968E-16  5.377E-16  1.00E-07
  4.500E-02 2.14186E-16  1.358E-07  1.061E-08  1.008E-08 -8.437E-16  5.693E-16  1.00E-07
  4.750E-02 2.14186E-16  1.434E-07  1.061E-08  1.008E-08 -8.906E-16  6.010E-16  1.00E-07
  5.000E-02 2.14186E-16  1.509E-07  1.061E-08  1.008E-08 -9.374E-16  6.326E-16  1.00E-07
