

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 7.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      1.49210751E-01      0.00000000E+00
       1     -1.51327716E+00     -1.51227846E+00
       2      6.51782554E-01      6.51931767E-01
       3      2.58548714E-01      2.58590521E-01
       4      1.06555424E-01      1.06570441E-01
       5      4.53598193E-02      4.53658079E-02
       6      1.97415071E-02      1.97440202E-02
       7      8.72621097E-03      8.72729602E-03
       8      3.90207372E-03      3.90255071E-03
       9      1.76081853E-03      1.76103092E-03
      10      8.00458300E-04      8.00553812E-04
      11      3.66100302E-04      3.66143596E-04
      12      1.68281115E-04      1.68300868E-04
      13      7.76699496E-05      7.76790111E-05
      14      3.59681742E-05      3.59723497E-05
      15      1.67011385E-05      1.67030696E-05
      16      7.77131623E-06      7.77221196E-06
      17      3.62210979E-06      3.62252626E-06
      18      1.69036079E-06      1.69055477E-06
      19      7.89605670E-07      7.89696162E-07
      20      3.69098322E-07      3.69140575E-07
      21      1.72617225E-07      1.72636974E-07
      22      8.07539977E-08      8.07632322E-08
      23      3.77854413E-08      3.77897607E-08
      24      1.76815030E-08      1.76835239E-08
      25      8.27388954E-09      8.27483685E-09
      26      3.87142242E-09      3.87186956E-09
      27      1.81128433E-09      1.81148876E-09
      28      8.47286457E-10      8.47379099E-10
      29      3.96229677E-10      3.96273877E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  1.500E-03 3.62733E-16  3.584E-09  1.420E-08  1.269E-08 -1.822E-17  2.949E-17  1.00E-07
  1.750E-03 3.62733E-16  4.181E-09  1.420E-08  1.269E-08 -2.126E-17  3.441E-17  1.00E-07
  2.000E-03 3.62733E-16  4.779E-09  1.420E-08  1.269E-08 -2.429E-17  3.932E-17  1.00E-07
  2.250E-03 3.62733E-16  5.376E-09  1.420E-08  1.269E-08 -2.733E-17  4.424E-17  1.00E-07
  2.500E-03 3.62733E-16  5.973E-09  1.420E-08  1.269E-08 -3.037E-17  4.915E-17  1.00E-07
  2.750E-03 3.62733E-16  6.571E-09  1.420E-08  1.269E-08 -3.340E-17  5.407E-17  1.00E-07
  3.000E-03 3.62733E-16  7.168E-09  1.420E-08  1.269E-08 -3.644E-17  5.898E-17  1.00E-07
  3.250E-03 3.62733E-16  7.765E-09  1.420E-08  1.269E-08 -3.948E-17  6.390E-17  1.00E-07
  3.500E-03 3.62733E-16  8.363E-09  1.420E-08  1.269E-08 -4.251E-17  6.881E-17  1.00E-07
  3.750E-03 3.62733E-16  8.960E-09  1.420E-08  1.269E-08 -4.555E-17  7.373E-17  1.00E-07
  4.000E-03 3.62733E-16  9.557E-09  1.420E-08  1.269E-08 -4.859E-17  7.864E-17  1.00E-07
  4.250E-03 3.62733E-16  1.015E-08  1.420E-08  1.269E-08 -5.162E-17  8.356E-17  1.00E-07
  4.500E-03 3.62733E-16  1.075E-08  1.420E-08  1.269E-08 -5.466E-17  8.847E-17  1.00E-07
  4.750E-03 3.62733E-16  1.135E-08  1.420E-08  1.269E-08 -5.770E-17  9.339E-17  1.00E-07
  5.000E-03 3.62733E-16  1.195E-08  1.420E-08  1.269E-08 -6.073E-17  9.830E-17  1.00E-07
  5.250E-03 3.62733E-16  1.254E-08  1.420E-08  1.269E-08 -6.377E-17  1.032E-16  1.00E-07
  5.500E-03 3.62733E-16  1.314E-08  1.420E-08  1.269E-08 -6.681E-17  1.081E-16  1.00E-07
  5.750E-03 3.62733E-16  1.374E-08  1.420E-08  1.269E-08 -6.985E-17  1.130E-16  1.00E-07
  6.000E-03 3.62733E-16  1.434E-08  1.420E-08  1.269E-08 -7.288E-17  1.180E-16  1.00E-07
  6.250E-03 3.62733E-16  1.493E-08  1.420E-08  1.269E-08 -7.592E-17  1.229E-16  1.00E-07
  6.500E-03 3.62733E-16  1.553E-08  1.420E-08  1.269E-08 -7.896E-17  1.278E-16  1.00E-07
  6.750E-03 3.62733E-16  1.613E-08  1.420E-08  1.269E-08 -8.199E-17  1.327E-16  1.00E-07
  7.000E-03 3.62733E-16  1.673E-08  1.420E-08  1.269E-08 -8.503E-17  1.376E-16  1.00E-07
  7.250E-03 3.62733E-16  1.732E-08  1.420E-08  1.269E-08 -8.807E-17  1.425E-16  1.00E-07
  7.500E-03 3.62733E-16  1.792E-08  1.420E-08  1.269E-08 -9.110E-17  1.475E-16  1.00E-07
  7.750E-03 3.62733E-16  1.852E-08  1.420E-08  1.269E-08 -9.414E-17  1.524E-16  1.00E-07
  8.000E-03 3.62733E-16  1.911E-08  1.420E-08  1.269E-08 -9.718E-17  1.573E-16  1.00E-07
  8.250E-03 3.62733E-16  1.971E-08  1.420E-08  1.269E-08 -1.002E-16  1.622E-16  1.00E-07
