    
 E (eV)=   278.000000000000     
       0      4.67904072E-01      0.00000000E+00
       1      2.48899301E-01      2.49001175E-01
       2      1.49883514E-01      1.49928675E-01
       3      9.41089290E-02      9.41341968E-02
       4      6.02427414E-02      6.02580349E-02
       5      3.89660174E-02      3.89756113E-02
       6      2.53559921E-02      2.53621251E-02
       7      1.65594648E-02      1.65634278E-02
       8      1.08383398E-02      1.08409171E-02
       9      7.10299452E-03      7.10467727E-03
      10      4.65833883E-03      4.65944014E-03
      11      3.05608710E-03      3.05680890E-03
      12      2.00509524E-03      2.00556868E-03
      13      1.31542253E-03      1.31573318E-03
      14      8.62795320E-04      8.62999175E-04
      15      5.65758128E-04      5.65891892E-04
      16      3.70863725E-04      3.70951479E-04
      17      2.43022553E-04      2.43080107E-04
      18      1.59191996E-04      1.59229730E-04
      19      1.04240367E-04      1.04265099E-04
      20      6.82324531E-05      6.82486563E-05
      21      4.46466087E-05      4.46572205E-05
      22      2.92032837E-05      2.92102309E-05
      23      1.90952203E-05      1.90997668E-05
      24      1.24816487E-05      1.24846230E-05
      25      8.15602046E-06      8.15796555E-06
      26      5.32780876E-06      5.32908034E-06
      27      3.47926734E-06      3.48009835E-06
      28      2.27143686E-06      2.27197977E-06
      29      1.48249066E-06      1.48284524E-06
      30      9.67311231E-07      9.67542748E-07
      31      6.30997923E-07      6.31149043E-07
      32      4.11510887E-07      4.11609501E-07
      33      2.68305987E-07      2.68370322E-07
      34      1.74895674E-07      1.74937634E-07
      35      1.13980688E-07      1.14008049E-07
      36      7.42660532E-08      7.42838922E-08
      37      4.83792618E-08      4.83908877E-08
      38      3.15095242E-08      3.15170983E-08
      39      2.05183071E-08      2.05232362E-08
      40      1.33585384E-08      1.33617542E-08
      41      8.69556238E-09      8.69765231E-09
      42      5.65931128E-09      5.66067374E-09
      43      3.68260742E-09      3.68349147E-09
      44      2.39589124E-09      2.39646658E-09
      45      1.55850240E-09      1.55888318E-09
      46      1.01367137E-09      1.01391395E-09
      47      6.59205751E-10      6.59364100E-10
      48      4.28607418E-10      4.28707171E-10

  TOTAL ELASTIC CROSS SECTION = 1.075171E-17 cm**2
               FROM DCS TABLE = 1.075139E-17  (REL. DIF. = 3.01E-05)

  1ST TRANSPORT CROSS SECTION = 1.464636E-18 cm**2
               FROM DCS TABLE = 1.464614E-18  (REL. DIF. = 1.45E-05)

  2ND TRANSPORT CROSS SECTION = 3.115855E-18 cm**2
