    
 E (eV)=   278.000000000000     
       0     -2.88952691E-01      0.00000000E+00
       1      1.54636274E+00      1.54845241E+00
       2      8.08318493E-01      8.08803334E-01
       3      4.30999580E-01      4.31189387E-01
       4      2.33749944E-01      2.33839301E-01
       5      1.29159629E-01      1.29205190E-01
       6      7.26020753E-02      7.26263884E-02
       7      4.14031928E-02      4.14165615E-02
       8      2.38927445E-02      2.39002524E-02
       9      1.39231757E-02      1.39274589E-02
      10      8.17967900E-03      8.18215248E-03
      11      4.83832239E-03      4.83976483E-03
      12      2.87845346E-03      2.87930142E-03
      13      1.72090418E-03      1.72140601E-03
      14      1.03318169E-03      1.03348038E-03
      15      6.22526063E-04      6.22704693E-04
      16      3.76250340E-04      3.76357613E-04
      17      2.28005377E-04      2.28070026E-04
      18      1.38484070E-04      1.38523150E-04
      19      8.42756532E-05      8.42993386E-05
      20      5.13727703E-05      5.13871577E-05
      21      3.13610415E-05      3.13697977E-05
      22      1.91684662E-05      1.91738042E-05
      23      1.17286763E-05      1.17319350E-05
      24      7.18309359E-06      7.18508550E-06
      25      4.40271233E-06      4.40393116E-06
      26      2.70040306E-06      2.70114953E-06
      27      1.65728180E-06      1.65773935E-06
      28      1.01762861E-06      1.01790924E-06
      29      6.25140993E-07      6.25313224E-07
      30      3.84182161E-07      3.84287913E-07
      31      2.36181109E-07      2.36246078E-07
      32      1.45238916E-07      1.45278845E-07
      33      8.93377246E-08      8.93622709E-08
      34      5.49650829E-08      5.49801791E-08
      35      3.38241157E-08      3.38333962E-08
      36      2.08181626E-08      2.08238730E-08
      37      1.28152499E-08      1.28187656E-08
      38      7.88991797E-09      7.89207909E-09
      39      4.85810750E-09      4.85943738E-09
      40      2.99160947E-09      2.99242664E-09
      41      1.84242501E-09      1.84292977E-09
      42      1.13477592E-09      1.13508844E-09
      43      6.98973032E-10      6.99168353E-10
      44      4.30528536E-10      4.30642938E-10

  TOTAL ELASTIC CROSS SECTION = 1.324474E-16 cm**2
               FROM DCS TABLE = 1.324449E-16  (REL. DIF. = 1.89E-05)

  1ST TRANSPORT CROSS SECTION = 4.275532E-17 cm**2
               FROM DCS TABLE = 4.275536E-17  (REL. DIF. = 7.55E-07)

  2ND TRANSPORT CROSS SECTION = 5.962150E-17 cm**2
