    
 E (eV)=   252.000000000000     
       0      4.81871958E-01      0.00000000E+00
       1      2.52037062E-01      2.52134265E-01
       2      1.49023030E-01      1.49065449E-01
       3      9.18078260E-02      9.18311712E-02
       4      5.76386486E-02      5.76525327E-02
       5      3.65531373E-02      3.65616890E-02
       6      2.33156458E-02      2.33210102E-02
       7      1.49230041E-02      1.49264041E-02
       8      9.57065417E-03      9.57282232E-03
       9      6.14502479E-03      6.14641243E-03
      10      3.94783064E-03      3.94872065E-03
      11      2.53680649E-03      2.53737802E-03
      12      1.63006903E-03      1.63043627E-03
      13      1.04724077E-03      1.04747679E-03
      14      6.72613034E-04      6.72764728E-04
      15      4.31851991E-04      4.31949465E-04
      16      2.77165610E-04      2.77228226E-04
      17      1.77815645E-04      1.77855855E-04
      18      1.14031120E-04      1.14056931E-04
      19      7.30970158E-05      7.31135774E-05
      20      4.68382956E-05      4.68489178E-05
      21      3.00007103E-05      3.00075204E-05
      22      1.92086033E-05      1.92129676E-05
      23      1.22941688E-05      1.22969645E-05
      24      7.86587987E-06      7.86767009E-06
      25      5.03090283E-06      5.03204876E-06
      26      3.21662742E-06      3.21736067E-06
      27      2.05597301E-06      2.05644203E-06
      28      1.31371551E-06      1.31401542E-06
      29      8.39185249E-07      8.39376958E-07
      30      5.35910129E-07      5.36032640E-07
      31      3.42143746E-07      3.42222011E-07
      32      2.18379741E-07      2.18429726E-07
      33      1.39350249E-07      1.39382162E-07
      34      8.88993696E-08      8.89197388E-08
      35      5.67008072E-08      5.67138055E-08
      36      3.61562887E-08      3.61645822E-08
      37      2.30507465E-08      2.30560397E-08
      38      1.46924883E-08      1.46958604E-08
      39      9.36312506E-09      9.36527010E-09
      40      5.96573136E-09      5.96710291E-09
      41      3.80032027E-09      3.80118975E-09
      42      2.42048971E-09      2.42104735E-09
      43      1.54136200E-09      1.54171327E-09
      44      9.81390627E-10      9.81619432E-10
      45      6.24739332E-10      6.24885822E-10

  TOTAL ELASTIC CROSS SECTION = 1.193469E-17 cm**2
               FROM DCS TABLE = 1.193434E-17  (REL. DIF. = 2.95E-05)

  1ST TRANSPORT CROSS SECTION = 1.742045E-18 cm**2
               FROM DCS TABLE = 1.742020E-18  (REL. DIF. = 1.44E-05)

  2ND TRANSPORT CROSS SECTION = 3.669836E-18 cm**2
