    
 E (eV)=   298.000000000000     
       0      4.58227151E-01      0.00000000E+00
       1      2.46580812E-01      2.46686117E-01
       2      1.50339342E-01      1.50386518E-01
       3      9.56173739E-02      9.56440623E-02
       4      6.20194744E-02      6.20358195E-02
       5      4.06553860E-02      4.06657671E-02
       6      2.68158859E-02      2.68226072E-02
       7      1.77540002E-02      1.77584005E-02
       8      1.17815414E-02      1.17844415E-02
       9      7.82916115E-03      7.83108036E-03
      10      5.20689737E-03      5.20817073E-03
      11      3.46435992E-03      3.46520609E-03
      12      2.30532709E-03      2.30588990E-03
      13      1.53401720E-03      1.53439171E-03
      14      1.02061957E-03      1.02086883E-03
      15      6.78889088E-04      6.79054984E-04
      16      4.51452903E-04      4.51563301E-04
      17      3.00117023E-04      3.00190472E-04
      18      1.99445928E-04      1.99494780E-04
      19      1.32498829E-04      1.32531312E-04
      20      8.79933980E-05      8.80149889E-05
      21      5.84171244E-05      5.84314707E-05
      22      3.87689938E-05      3.87785229E-05
      23      2.57209079E-05      2.57272352E-05
      24      1.70588287E-05      1.70630286E-05
      25      1.13103845E-05      1.13131714E-05
      26      7.49678537E-06      7.49863394E-06
      27      4.96760106E-06      4.96882688E-06
      28      3.29076339E-06      3.29157601E-06
      29      2.17936124E-06      2.17989978E-06
      30      1.44294128E-06      1.44329808E-06
      31      9.55122489E-07      9.55358815E-07
      32      6.32068841E-07      6.32225329E-07
      33      4.18185044E-07      4.18288637E-07
      34      2.76614575E-07      2.76683140E-07
      35      1.82931055E-07      1.82976422E-07
      36      1.20950931E-07      1.20980944E-07
      37      7.99546428E-08      7.99744904E-08
      38      5.28436963E-08      5.28568229E-08
      39      3.49189537E-08      3.49276319E-08
      40      2.30702013E-08      2.30759343E-08
      41      1.52393150E-08      1.52431091E-08
      42      1.00647823E-08      1.00672831E-08
      43      6.64615852E-09      6.64781107E-09
      44      4.38804644E-09      4.38914317E-09
      45      2.89670314E-09      2.89742690E-09
      46      1.91187952E-09      1.91235511E-09
      47      1.26168415E-09      1.26200120E-09
      48      8.32524912E-10      8.32729999E-10
      49      5.49256277E-10      5.49394397E-10

  TOTAL ELASTIC CROSS SECTION = 9.989318E-18 cm**2
               FROM DCS TABLE = 9.989012E-18  (REL. DIF. = 3.06E-05)

  1ST TRANSPORT CROSS SECTION = 1.295311E-18 cm**2
               FROM DCS TABLE = 1.295292E-18  (REL. DIF. = 1.46E-05)

  2ND TRANSPORT CROSS SECTION = 2.774144E-18 cm**2
