    
 E (eV)=   298.000000000000     
       0     -3.35770942E-01      0.00000000E+00
       1      1.52724777E+00      1.52935500E+00
       2      8.12097332E-01      8.12599325E-01
       3      4.42178592E-01      4.42380056E-01
       4      2.44682509E-01      2.44779500E-01
       5      1.37721716E-01      1.37772143E-01
       6      7.87652798E-02      7.87926686E-02
       7      4.56675263E-02      4.56828375E-02
       8      2.67810564E-02      2.67897934E-02
       9      1.58548308E-02      1.58598936E-02
      10      9.46107119E-03      9.46404034E-03
      11      5.68366566E-03      5.68542382E-03
      12      3.43393676E-03      3.43498615E-03
      13      2.08484567E-03      2.08547621E-03
      14      1.27108343E-03      1.27146445E-03
      15      7.77748791E-04      7.77980139E-04
      16      4.77368271E-04      4.77509328E-04
      17      2.93786104E-04      2.93872417E-04
      18      1.81222867E-04      1.81275846E-04
      19      1.12011216E-04      1.12043821E-04
      20      6.93519335E-05      6.93720459E-05
      21      4.30033598E-05      4.30157907E-05
      22      2.66996363E-05      2.67073328E-05
      23      1.65955666E-05      1.66003389E-05
      24      1.03251838E-05      1.03281468E-05
      25      6.42934518E-06      6.43118679E-06
      26      4.00636975E-06      4.00751550E-06
      27      2.49809771E-06      2.49881114E-06
      28      1.55849876E-06      1.55894331E-06
      29      9.72773262E-07      9.73050449E-07
      30      6.07433217E-07      6.07606141E-07
      31      3.79441195E-07      3.79549125E-07
      32      2.37099102E-07      2.37166496E-07
      33      1.48196398E-07      1.48238494E-07
      34      9.26515878E-08      9.26778912E-08
      35      5.79379689E-08      5.79544100E-08
      36      3.62374144E-08      3.62476883E-08
      37      2.26685613E-08      2.26749887E-08
      38      1.41826401E-08      1.41866651E-08
      39      8.87459118E-09      8.87710872E-09
      40      5.55381239E-09      5.55538573E-09
      41      3.47595343E-09      3.47693871E-09
      42      2.17567820E-09      2.17629223E-09
      43      1.36194429E-09      1.36232795E-09
      44      8.52609454E-10      8.52852210E-10
      45      5.33742238E-10      5.33893611E-10

  TOTAL ELASTIC CROSS SECTION = 1.266831E-16 cm**2
               FROM DCS TABLE = 1.266807E-16  (REL. DIF. = 1.93E-05)

  1ST TRANSPORT CROSS SECTION = 3.877472E-17 cm**2
               FROM DCS TABLE = 3.877474E-17  (REL. DIF. = 4.44E-07)

  2ND TRANSPORT CROSS SECTION = 5.557210E-17 cm**2
