    
 E (eV)=   288.000000000000     
       0     -7.79504863E-01      0.00000000E+00
       1      1.28535056E+00      1.28656090E+00
       2      7.57434862E-01      7.57763471E-01
       3      4.75502315E-01      4.75656121E-01
       4      3.03984844E-01      3.04072249E-01
       5      1.95543425E-01      1.95596469E-01
       6      1.26352023E-01      1.26385100E-01
       7      8.20082149E-02      8.20291570E-02
       8      5.34620013E-02      5.34753999E-02
       9      3.49986468E-02      3.50072882E-02
      10      2.30010320E-02      2.30066413E-02
      11      1.51705047E-02      1.51741656E-02
      12      1.00388404E-02      1.00412407E-02
      13      6.66320678E-03      6.66478684E-03
      14      4.43501923E-03      4.43606312E-03
      15      2.95954958E-03      2.96024147E-03
      16      1.97964081E-03      1.98010074E-03
      17      1.32707817E-03      1.32738475E-03
      18      8.91414067E-04      8.91618918E-04
      19      5.99878217E-04      6.00015411E-04
      20      4.04370044E-04      4.04462120E-04
      21      2.72999899E-04      2.73061813E-04
      22      1.84566397E-04      1.84608102E-04
      23      1.24937288E-04      1.24965426E-04
      24      8.46695243E-05      8.46885365E-05
      25      5.74391127E-05      5.74519758E-05
      26      3.90020506E-05      3.90107638E-05
      27      2.65047291E-05      2.65106377E-05
      28      1.80250317E-05      1.80290422E-05
      29      1.22661781E-05      1.22689027E-05
      30      8.35199148E-06      8.35384386E-06
      31      5.68968635E-06      5.69094661E-06
      32      3.87772378E-06      3.87858170E-06
      33      2.64381501E-06      2.64439935E-06
      34      1.80313685E-06      1.80353504E-06
      35      1.23012646E-06      1.23039792E-06
      36      8.39414419E-07      8.39599535E-07
      37      5.72918152E-07      5.73044429E-07
      38      3.91096444E-07      3.91182607E-07
      39      2.67016238E-07      2.67075044E-07
      40      1.82323484E-07      1.82363619E-07
      41      1.24505441E-07      1.24532844E-07
      42      8.50287718E-08      8.50474849E-08
      43      5.80721563E-08      5.80849338E-08
      44      3.96631184E-08      3.96718493E-08
      45      2.70904208E-08      2.70963836E-08
      46      1.85033621E-08      1.85074373E-08
      47      1.26382587E-08      1.26410378E-08
      48      8.63211596E-09      8.63401824E-09
      49      5.89573455E-09      5.89703134E-09
      50      4.02672674E-09      4.02761614E-09
      51      2.75013120E-09      2.75073754E-09
      52      1.87819211E-09      1.87860670E-09
      53      1.28259210E-09      1.28287784E-09
      54      8.75818307E-10      8.76013404E-10
      55      5.98056440E-10      5.98187584E-10

  TOTAL ELASTIC CROSS SECTION = 1.447107E-16 cm**2
               FROM DCS TABLE = 1.447073E-16  (REL. DIF. = 2.35E-05)

  1ST TRANSPORT CROSS SECTION = 2.900037E-17 cm**2
               FROM DCS TABLE = 2.900032E-17  (REL. DIF. = 1.76E-06)

  2ND TRANSPORT CROSS SECTION = 4.882488E-17 cm**2
