

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.52000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -6.94423505E-01      0.00000000E+00
       1      1.31809362E+00      1.31927251E+00
       2      7.58661091E-01      7.58968382E-01
       3      4.63282541E-01      4.63422563E-01
       4      2.87453867E-01      2.87531172E-01
       5      1.79467953E-01      1.79513457E-01
       6      1.12647720E-01      1.12675259E-01
       7      7.10872713E-02      7.11042120E-02
       8      4.50925423E-02      4.51030843E-02
       9      2.87404296E-02      2.87470476E-02
      10      1.83980250E-02      1.84022089E-02
      11      1.18239512E-02      1.18266116E-02
      12      7.62624041E-03      7.62794051E-03
      13      4.93487753E-03      4.93596861E-03
      14      3.20285536E-03      3.20355826E-03
      15      2.08440649E-03      2.08486086E-03
      16      1.35990954E-03      1.36020417E-03
      17      8.89254079E-04      8.89445663E-04
      18      5.82695696E-04      5.82820597E-04
      19      3.82538495E-04      3.82620114E-04
      20      2.51563846E-04      2.51617296E-04
      21      1.65686951E-04      1.65722022E-04
      22      1.09276674E-04      1.09299726E-04
      23      7.21610043E-05      7.21761806E-05
      24      4.77040432E-05      4.77140486E-05
      25      3.15668708E-05      3.15734757E-05
      26      2.09065465E-05      2.09109116E-05
      27      1.38567861E-05      1.38596739E-05
      28      9.19033443E-06      9.19224655E-06
      29      6.09890322E-06      6.10017033E-06
      30      4.04939801E-06      4.05023827E-06
      31      2.68978486E-06      2.69034240E-06
      32      1.78733581E-06      1.78770595E-06
      33      1.18804362E-06      1.18828946E-06
      34      7.89905001E-07      7.90068347E-07
      35      5.25308770E-07      5.25417339E-07
      36      3.49409771E-07      3.49481953E-07
      37      2.32445442E-07      2.32493448E-07
      38      1.54653421E-07      1.54685346E-07
      39      1.02905671E-07      1.02926905E-07
      40      6.84778030E-08      6.84919342E-08
      41      4.55702857E-08      4.55796895E-08
      42      3.03269293E-08      3.03331864E-08
      43      2.01828697E-08      2.01870335E-08
      44      1.34318708E-08      1.34346416E-08
      45      8.93899327E-09      8.94083836E-09
      46      5.94881154E-09      5.95003787E-09
      47      3.95880175E-09      3.95961533E-09
      48      2.63436048E-09      2.63490848E-09
      49      1.75289923E-09      1.75326253E-09
      50      1.16632713E-09      1.16657539E-09
      51      7.76031906E-10      7.76192348E-10
      52      5.16283363E-10      5.16391487E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.46772E-16  0.000E+00  1.847E-08  1.028E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.46772E-16  2.087E-10  1.847E-08  1.028E-08  7.359E-18  6.623E-18  1.00E-07
  1.250E-04 4.46772E-16  2.608E-10  1.847E-08  1.028E-08  9.198E-18  8.278E-18  1.00E-07
  1.500E-04 4.46772E-16  3.130E-10  1.847E-08  1.028E-08  1.104E-17  9.934E-18  1.00E-07
  1.750E-04 4.46772E-16  3.652E-10  1.847E-08  1.028E-08  1.288E-17  1.159E-17  1.00E-07
  2.000E-04 4.46772E-16  4.174E-10  1.847E-08  1.028E-08  1.472E-17  1.325E-17  1.00E-07
  2.250E-04 4.46772E-16  4.695E-10  1.847E-08  1.028E-08  1.656E-17  1.490E-17  1.00E-07
  2.500E-04 4.46772E-16  5.217E-10  1.847E-08  1.028E-08  1.840E-17  1.656E-17  1.00E-07
  2.750E-04 4.46772E-16  5.739E-10  1.847E-08  1.028E-08  2.024E-17  1.821E-17  1.00E-07
  3.000E-04 4.46772E-16  6.260E-10  1.847E-08  1.028E-08  2.208E-17  1.987E-17  1.00E-07
  3.250E-04 4.46772E-16  6.782E-10  1.847E-08  1.028E-08  2.392E-17  2.152E-17  1.00E-07
  3.500E-04 4.46772E-16  7.304E-10  1.847E-08  1.028E-08  2.576E-17  2.318E-17  1.00E-07
  3.750E-04 4.46772E-16  7.825E-10  1.847E-08  1.028E-08  2.759E-17  2.484E-17  1.00E-07
  4.000E-04 4.46772E-16  8.347E-10  1.847E-08  1.028E-08  2.943E-17  2.649E-17  1.00E-07
  4.250E-04 4.46772E-16  8.869E-10  1.847E-08  1.028E-08  3.127E-17  2.815E-17  1.00E-07
  4.500E-04 4.46772E-16  9.391E-10  1.847E-08  1.028E-08  3.311E-17  2.980E-17  1.00E-07
  4.750E-04 4.46772E-16  9.912E-10  1.847E-08  1.028E-08  3.495E-17  3.146E-17  1.00E-07
  5.000E-04 4.46772E-16  1.043E-09  1.847E-08  1.028E-08  3.679E-17  3.311E-17  1.00E-07
  5.250E-04 4.46772E-16  1.096E-09  1.847E-08  1.028E-08  3.863E-17  3.477E-17  1.00E-07
  5.500E-04 4.46772E-16  1.148E-09  1.847E-08  1.028E-08  4.047E-17  3.642E-17  1.00E-07
  5.750E-04 4.46772E-16  1.200E-09  1.847E-08  1.028E-08  4.231E-17  3.808E-17  1.00E-07
  6.000E-04 4.46772E-16  1.252E-09  1.847E-08  1.028E-08  4.415E-17  3.974E-17  1.00E-07
  6.250E-04 4.46772E-16  1.304E-09  1.847E-08  1.028E-08  4.599E-17  4.139E-17  1.00E-07
  6.500E-04 4.46772E-16  1.356E-09  1.847E-08  1.028E-08  4.783E-17  4.305E-17  1.00E-07
  6.750E-04 4.46772E-16  1.409E-09  1.847E-08  1.028E-08  4.967E-17  4.470E-17  1.00E-07
  7.000E-04 4.46772E-16  1.461E-09  1.847E-08  1.028E-08  5.151E-17  4.636E-17  1.00E-07
  7.250E-04 4.46772E-16  1.513E-09  1.847E-08  1.028E-08  5.335E-17  4.801E-17  1.00E-07
  7.500E-04 4.46772E-16  1.565E-09  1.847E-08  1.028E-08  5.519E-17  4.967E-17  1.00E-07
  7.750E-04 4.46772E-16  1.617E-09  1.847E-08  1.028E-08  5.703E-17  5.133E-17  1.00E-07
  8.000E-04 4.46772E-16  1.669E-09  1.847E-08  1.028E-08  5.887E-17  5.298E-17  1.00E-07
  8.250E-04 4.46772E-16  1.722E-09  1.847E-08  1.028E-08  6.071E-17  5.464E-17  1.00E-07
  8.500E-04 4.46772E-16  1.774E-09  1.847E-08  1.028E-08  6.255E-17  5.629E-17  1.00E-07
  8.750E-04 4.46772E-16  1.826E-09  1.847E-08  1.028E-08  6.439E-17  5.795E-17  1.00E-07
