    
 E (eV)=   198.000000000000     
       0     -5.38644606E-01      0.00000000E+00
       1      1.37710186E+00      1.37823079E+00
       2      7.55866294E-01      7.56138034E-01
       3      4.36019008E-01      4.36135920E-01
       4      2.54746140E-01      2.54806882E-01
       5      1.49959177E-01      1.49992816E-01
       6      8.89503876E-02      8.89695937E-02
       7      5.31508969E-02      5.31620740E-02
       8      3.19708925E-02      3.19774854E-02
       9      1.93437939E-02      1.93477223E-02
      10      1.17643214E-02      1.17666807E-02
      11      7.18743194E-03      7.18885816E-03
      12      4.40907488E-03      4.40994174E-03
      13      2.71459636E-03      2.71512573E-03
      14      1.67682420E-03      1.67714883E-03
      15      1.03884710E-03      1.03904691E-03
      16      6.45309010E-04      6.45432400E-04
      17      4.01805972E-04      4.01882398E-04
      18      2.50718978E-04      2.50766443E-04
      19      1.56739379E-04      1.56768929E-04
      20      9.81510624E-05      9.81694979E-05
      21      6.15533131E-05      6.15648368E-05
      22      3.86516883E-05      3.86589038E-05
      23      2.42982166E-05      2.43027412E-05
      24      1.52898927E-05      1.52927337E-05
      25      9.62942491E-06      9.63121081E-06
      26      6.06890120E-06      6.07002495E-06
      27      3.82725351E-06      3.82796121E-06
      28      2.41485311E-06      2.41529913E-06
      29      1.52434848E-06      1.52462975E-06
      30      9.62577986E-07      9.62755456E-07
      31      6.08019736E-07      6.08131767E-07
      32      3.84153666E-07      3.84224405E-07
      33      2.42759716E-07      2.42804396E-07
      34      1.53431263E-07      1.53459499E-07
      35      9.69840816E-08      9.70019236E-08
      36      6.13088207E-08      6.13200964E-08
      37      3.87586913E-08      3.87658247E-08
      38      2.45034591E-08      2.45079647E-08
      39      1.54913769E-08      1.54942265E-08
      40      9.79380223E-09      9.79560175E-09
      41      6.19155345E-09      6.19269283E-09
      42      3.91411282E-09      3.91483093E-09
      43      2.47423067E-09      2.47468333E-09
      44      1.56397401E-09      1.56426333E-09
      45      9.88540060E-10      9.88719337E-10
      46      6.24728868E-10      6.24843968E-10

  TOTAL ELASTIC CROSS SECTION = 1.872618E-16 cm**2
               FROM DCS TABLE = 1.872579E-16  (REL. DIF. = 2.07E-05)

  1ST TRANSPORT CROSS SECTION = 5.033834E-17 cm**2
               FROM DCS TABLE = 5.033833E-17  (REL. DIF. = 2.16E-07)

  2ND TRANSPORT CROSS SECTION = 7.610678E-17 cm**2
