    
 E (eV)=   300.000000000000     
       0     -8.05316988E-01      0.00000000E+00
       1      1.27533741E+00      1.27655794E+00
       2      7.56696200E-01      7.57031582E-01
       3      4.78829649E-01      4.78987821E-01
       4      3.08775521E-01      3.08866144E-01
       5      2.00370053E-01      2.00425540E-01
       6      1.30582212E-01      1.30617118E-01
       7      8.54600213E-02      8.54823101E-02
       8      5.61641123E-02      5.61784902E-02
       9      3.70591850E-02      3.70685324E-02
      10      2.45449360E-02      2.45510513E-02
      11      1.63130820E-02      1.63171039E-02
      12      1.08768134E-02      1.08794704E-02
      13      7.27363341E-03      7.27539565E-03
      14      4.87738682E-03      4.87855974E-03
      15      3.27883296E-03      3.27961612E-03
      16      2.20935082E-03      2.20987525E-03
      17      1.49192100E-03      1.49227311E-03
      18      1.00946135E-03      1.00969835E-03
      19      6.84269481E-04      6.84429351E-04
      20      4.64614421E-04      4.64722490E-04
      21      3.15954158E-04      3.16027350E-04
      22      2.15160485E-04      2.15210143E-04
      23      1.46707569E-04      1.46741314E-04
      24      1.00147927E-04      1.00170892E-04
      25      6.84356010E-05      6.84512507E-05
      26      4.68087954E-05      4.68194729E-05
      27      3.20432077E-05      3.20505008E-05
      28      2.19517302E-05      2.19567164E-05
      29      1.50483890E-05      1.50518011E-05
      30      1.03220737E-05      1.03244105E-05
      31      7.08385527E-06      7.08545672E-06
      32      4.86374653E-06      4.86484474E-06
      33      3.34076547E-06      3.34151900E-06
      34      2.29547461E-06      2.29599188E-06
      35      1.57772118E-06      1.57807642E-06
      36      1.08467858E-06      1.08492264E-06
      37      7.45879458E-07      7.46047183E-07
      38      5.13001150E-07      5.13116447E-07
      39      3.52888038E-07      3.52967323E-07
      40      2.42780004E-07      2.42834531E-07
      41      1.67045904E-07      1.67083405E-07
      42      1.14946573E-07      1.14972374E-07
      43      7.91017011E-08      7.91194565E-08
      44      5.44374382E-08      5.44496562E-08
      45      3.74649543E-08      3.74733566E-08
      46      2.57846687E-08      2.57904589E-08
      47      1.77460890E-08      1.77500726E-08
      48      1.22136497E-08      1.22163912E-08
      49      8.40587746E-09      8.40776091E-09
      50      5.78507634E-09      5.78637243E-09
      51      3.98132794E-09      3.98222153E-09
      52      2.73991927E-09      2.74053214E-09
      53      1.88548214E-09      1.88590369E-09
      54      1.29747331E-09      1.29776519E-09
      55      8.92752426E-10      8.92949273E-10
      56      6.14266454E-10      6.14400690E-10

  TOTAL ELASTIC CROSS SECTION = 1.405755E-16 cm**2
               FROM DCS TABLE = 1.405721E-16  (REL. DIF. = 2.39E-05)

  1ST TRANSPORT CROSS SECTION = 2.726490E-17 cm**2
               FROM DCS TABLE = 2.726484E-17  (REL. DIF. = 1.95E-06)

  2ND TRANSPORT CROSS SECTION = 4.637403E-17 cm**2
