 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.52000E+02 eV = 5.58590E+00 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 2.23117E-16 cm**2 = 7.96766E+00 a0**2
 # 1st transport cross section = 7.30536E-17 cm**2 = 2.60879E+00 a0**2
 # 2nd transport cross section = 1.00672E-16 cm**2 = 3.59506E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.06025E-16  1.44994E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.06025E-16  1.44994E+01  2.34549E-10  1.0E-07
  1.250E-04  1.18994E-12  4.06025E-16  1.44994E+01  2.93187E-10  1.0E-07
  1.500E-04  1.71346E-12  4.06025E-16  1.44994E+01  3.51824E-10  1.0E-07
  1.750E-04  2.33225E-12  4.06025E-16  1.44994E+01  4.10462E-10  1.0E-07
  2.000E-04  3.04617E-12  4.06025E-16  1.44994E+01  4.69099E-10  1.0E-07
  2.250E-04  3.85530E-12  4.06025E-16  1.44994E+01  5.27736E-10  1.0E-07
  2.500E-04  4.75964E-12  4.06025E-16  1.44994E+01  5.86374E-10  1.0E-07
  2.750E-04  5.75917E-12  4.06025E-16  1.44994E+01  6.45011E-10  1.0E-07
  3.000E-04  6.85391E-12  4.06025E-16  1.44994E+01  7.03648E-10  1.0E-07
  3.250E-04  8.04379E-12  4.06025E-16  1.44994E+01  7.62286E-10  1.0E-07
  3.500E-04  9.32893E-12  4.06025E-16  1.44994E+01  8.20923E-10  1.0E-07
  3.750E-04  1.07092E-11  4.06025E-16  1.44994E+01  8.79561E-10  1.0E-07
  4.000E-04  1.21847E-11  4.06025E-16  1.44994E+01  9.38198E-10  1.0E-07
  4.250E-04  1.37554E-11  4.06025E-16  1.44994E+01  9.96835E-10  1.0E-07
  4.500E-04  1.54213E-11  4.06025E-16  1.44994E+01  1.05547E-09  1.0E-07
  4.750E-04  1.71823E-11  4.06025E-16  1.44994E+01  1.11411E-09  1.0E-07
  5.000E-04  1.90386E-11  4.06025E-16  1.44994E+01  1.17275E-09  1.0E-07
  5.250E-04  2.09900E-11  4.06025E-16  1.44994E+01  1.23138E-09  1.0E-07
  5.500E-04  2.30367E-11  4.06025E-16  1.44994E+01  1.29002E-09  1.0E-07
  5.750E-04  2.51785E-11  4.06025E-16  1.44994E+01  1.34866E-09  1.0E-07
