 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.20000E+02 eV = 8.08485E+00 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.74402E-16 cm**2 = 6.22800E+00 a0**2
 # 1st transport cross section = 4.32269E-17 cm**2 = 1.54366E+00 a0**2
 # 2nd transport cross section = 6.75423E-17 cm**2 = 2.41198E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.35271E-16  1.55438E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.35271E-16  1.55438E+01  2.16754E-10  1.0E-07
  1.250E-04  1.18994E-12  4.35271E-16  1.55438E+01  2.70943E-10  1.0E-07
  1.500E-04  1.71346E-12  4.35271E-16  1.55438E+01  3.25131E-10  1.0E-07
  1.750E-04  2.33225E-12  4.35271E-16  1.55438E+01  3.79320E-10  1.0E-07
  2.000E-04  3.04617E-12  4.35271E-16  1.55438E+01  4.33509E-10  1.0E-07
  2.250E-04  3.85530E-12  4.35271E-16  1.55438E+01  4.87697E-10  1.0E-07
  2.500E-04  4.75964E-12  4.35271E-16  1.55438E+01  5.41886E-10  1.0E-07
  2.750E-04  5.75917E-12  4.35271E-16  1.55438E+01  5.96074E-10  1.0E-07
  3.000E-04  6.85391E-12  4.35271E-16  1.55438E+01  6.50263E-10  1.0E-07
  3.250E-04  8.04379E-12  4.35271E-16  1.55438E+01  7.04451E-10  1.0E-07
  3.500E-04  9.32893E-12  4.35271E-16  1.55438E+01  7.58640E-10  1.0E-07
  3.750E-04  1.07092E-11  4.35271E-16  1.55438E+01  8.12829E-10  1.0E-07
  4.000E-04  1.21847E-11  4.35271E-16  1.55438E+01  8.67017E-10  1.0E-07
  4.250E-04  1.37554E-11  4.35271E-16  1.55438E+01  9.21206E-10  1.0E-07
  4.500E-04  1.54213E-11  4.35271E-16  1.55438E+01  9.75394E-10  1.0E-07
  4.750E-04  1.71823E-11  4.35271E-16  1.55438E+01  1.02958E-09  1.0E-07
  5.000E-04  1.90386E-11  4.35271E-16  1.55438E+01  1.08377E-09  1.0E-07
  5.250E-04  2.09900E-11  4.35271E-16  1.55438E+01  1.13796E-09  1.0E-07
  5.500E-04  2.30367E-11  4.35271E-16  1.55438E+01  1.19215E-09  1.0E-07
  5.750E-04  2.51785E-11  4.35271E-16  1.55438E+01  1.24634E-09  1.0E-07
  6.000E-04  2.74156E-11  4.35271E-16  1.55438E+01  1.30053E-09  1.0E-07
  6.250E-04  2.97478E-11  4.35271E-16  1.55438E+01  1.35471E-09  1.0E-07
  6.500E-04  3.21752E-11  4.35271E-16  1.55438E+01  1.40890E-09  1.0E-07
  6.750E-04  3.46979E-11  4.35271E-16  1.55438E+01  1.46309E-09  1.0E-07
  7.000E-04  3.73157E-11  4.35271E-16  1.55438E+01  1.51728E-09  1.0E-07
  7.250E-04  4.00286E-11  4.35271E-16  1.55438E+01  1.57147E-09  1.0E-07
  7.500E-04  4.28368E-11  4.35271E-16  1.55438E+01  1.62566E-09  1.0E-07
  7.750E-04  4.57402E-11  4.35271E-16  1.55438E+01  1.67985E-09  1.0E-07
  8.000E-04  4.87388E-11  4.35271E-16  1.55438E+01  1.73403E-09  1.0E-07
  8.250E-04  5.18325E-11  4.35271E-16  1.55438E+01  1.78822E-09  1.0E-07
  8.500E-04  5.50215E-11  4.35271E-16  1.55438E+01  1.84241E-09  1.0E-07
  8.750E-04  5.83057E-11  4.35271E-16  1.55438E+01  1.89660E-09  1.0E-07
  9.000E-04  6.16850E-11  4.35271E-16  1.55438E+01  1.95079E-09  1.0E-07
  9.250E-04  6.51595E-11  4.35271E-16  1.55438E+01  2.00498E-09  1.0E-07
  9.500E-04  6.87293E-11  4.35271E-16  1.55438E+01  2.05917E-09  1.0E-07
  9.750E-04  7.23943E-11  4.35271E-16  1.55438E+01  2.11335E-09  1.0E-07
  1.000E-03  7.61544E-11  4.35271E-16  1.55438E+01  2.16754E-09  1.0E-07
  1.250E-03  1.18991E-10  4.35271E-16  1.55438E+01  2.70943E-09  1.0E-07
  1.500E-03  1.71347E-10  4.35271E-16  1.55438E+01  3.25131E-09  1.0E-07
  1.750E-03  2.33223E-10  4.35271E-16  1.55438E+01  3.79320E-09  1.0E-07
  2.000E-03  3.04617E-10  4.35271E-16  1.55438E+01  4.33509E-09  1.0E-07
