    
 E (eV)=   192.000000000000     
       0     -5.18605493E-01      0.00000000E+00
       1      1.38461298E+00      1.38573614E+00
       2      7.55010455E-01      7.55277905E-01
       3      4.32066441E-01      4.32180560E-01
       4      2.50360767E-01      2.50419554E-01
       5      1.46209441E-01      1.46241728E-01
       6      8.60693430E-02      8.60876343E-02
       7      5.10537373E-02      5.10643036E-02
       8      3.04909259E-02      3.04971140E-02
       9      1.83195442E-02      1.83232055E-02
      10      1.10646993E-02      1.10668832E-02
      11      6.71395522E-03      6.71526640E-03
      12      4.09080692E-03      4.09159850E-03
      13      2.50174285E-03      2.50222302E-03
      14      1.53502363E-03      1.53531612E-03
      15      9.44668114E-04      9.44846951E-04
      16      5.82910173E-04      5.83019884E-04
      17      3.60544962E-04      3.60612469E-04
      18      2.23480364E-04      2.23522014E-04
      19      1.38783218E-04      1.38808976E-04
      20      8.63288725E-05      8.63448374E-05
      21      5.37785055E-05      5.37884191E-05
      22      3.35439966E-05      3.35501629E-05
      23      2.09460312E-05      2.09498723E-05
      24      1.30919459E-05      1.30943417E-05
      25      8.18961805E-06      8.19111403E-06
      26      5.12658199E-06      5.12751701E-06
      27      3.21107662E-06      3.21166152E-06
      28      2.01229213E-06      2.01265826E-06
      29      1.26157478E-06      1.26180412E-06
      30      7.91197595E-07      7.91341312E-07
      31      4.96339973E-07      4.96430073E-07
      32      3.11438231E-07      3.11494740E-07
      33      1.95452847E-07      1.95488299E-07
      34      1.22679253E-07      1.22701500E-07
      35      7.70094456E-08      7.70234071E-08
      36      4.83445095E-08      4.83532731E-08
      37      3.03506452E-08      3.03561449E-08
      38      1.90544655E-08      1.90579143E-08
      39      1.19626449E-08      1.19648107E-08
      40      7.51015264E-09      7.51151220E-09
      41      4.71472521E-09      4.71557975E-09
      42      2.95963555E-09      2.96017113E-09
      43      1.85781712E-09      1.85815436E-09
      44      1.16612209E-09      1.16633485E-09
      45      7.31858749E-10      7.31993381E-10
      46      4.59239972E-10      4.59324378E-10

  TOTAL ELASTIC CROSS SECTION = 1.911609E-16 cm**2
               FROM DCS TABLE = 1.911570E-16  (REL. DIF. = 2.05E-05)

  1ST TRANSPORT CROSS SECTION = 5.260620E-17 cm**2
               FROM DCS TABLE = 5.260620E-17  (REL. DIF. = 1.04E-07)

  2ND TRANSPORT CROSS SECTION = 7.874140E-17 cm**2
