

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.42000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -6.68443972E-01      0.00000000E+00
       1      1.32801555E+00      1.32918545E+00
       2      7.58657038E-01      7.58958104E-01
       3      4.59170870E-01      4.59306855E-01
       4      2.82198653E-01      2.82273025E-01
       5      1.74531621E-01      1.74574975E-01
       6      1.08554545E-01      1.08580536E-01
       7      6.79029075E-02      6.79187533E-02
       8      4.27047995E-02      4.27145749E-02
       9      2.69910366E-02      2.69971218E-02
      10      1.71360945E-02      1.71399098E-02
      11      1.09235613E-02      1.09259676E-02
      12      6.98892050E-03      6.99044587E-03
      13      4.48645835E-03      4.48742950E-03
      14      2.88878973E-03      2.88941043E-03
      15      1.86522373E-03      1.86562182E-03
      16      1.20737581E-03      1.20763193E-03
      17      7.83343411E-04      7.83508661E-04
      18      5.09293705E-04      5.09400604E-04
      19      3.31745362E-04      3.31814678E-04
      20      2.16461856E-04      2.16506898E-04
      21      1.41456432E-04      1.41485758E-04
      22      9.25675747E-05      9.25867018E-05
      23      6.06492110E-05      6.06617058E-05
      24      3.97797267E-05      3.97879006E-05
      25      2.61164436E-05      2.61217975E-05
      26      1.71605769E-05      1.71640876E-05
      27      1.12841773E-05      1.12864817E-05
      28      7.42483796E-06      7.42635189E-06
      29      4.88816753E-06      4.88916287E-06
      30      3.21968900E-06      3.22034385E-06
      31      2.12158650E-06      2.12201757E-06
      32      1.39849203E-06      1.39877594E-06
      33      9.22121218E-07      9.22308285E-07
      34      6.08168412E-07      6.08291717E-07
      35      4.01189023E-07      4.01270325E-07
      36      2.64695785E-07      2.64749407E-07
      37      1.74664018E-07      1.74699387E-07
      38      1.15267228E-07      1.15290568E-07
      39      7.60751282E-08      7.60905243E-08
      40      5.02115954E-08      5.02217592E-08
      41      3.31422808E-08      3.31489893E-08
      42      2.18760917E-08      2.18805144E-08
      43      1.44397525E-08      1.44426732E-08
      44      9.53112103E-09      9.53304634E-09
      45      6.29102933E-09      6.29230450E-09
      46      4.15230653E-09      4.15314733E-09
      47      2.74052365E-09      2.74107573E-09
      48      1.80862726E-09      1.80899220E-09
      49      1.19358072E-09      1.19382429E-09
      50      7.87661157E-10      7.87823692E-10
      51      5.19764256E-10      5.19864707E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.43319E-16  0.000E+00  1.833E-08  1.036E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.43319E-16  2.112E-10  1.833E-08  1.036E-08  6.913E-18  6.463E-18  1.00E-07
  1.250E-04 4.43319E-16  2.639E-10  1.833E-08  1.036E-08  8.642E-18  8.079E-18  1.00E-07
  1.500E-04 4.43319E-16  3.167E-10  1.833E-08  1.036E-08  1.037E-17  9.695E-18  1.00E-07
  1.750E-04 4.43319E-16  3.695E-10  1.833E-08  1.036E-08  1.210E-17  1.131E-17  1.00E-07
  2.000E-04 4.43319E-16  4.223E-10  1.833E-08  1.036E-08  1.383E-17  1.293E-17  1.00E-07
  2.250E-04 4.43319E-16  4.751E-10  1.833E-08  1.036E-08  1.556E-17  1.454E-17  1.00E-07
  2.500E-04 4.43319E-16  5.279E-10  1.833E-08  1.036E-08  1.728E-17  1.616E-17  1.00E-07
  2.750E-04 4.43319E-16  5.807E-10  1.833E-08  1.036E-08  1.901E-17  1.777E-17  1.00E-07
  3.000E-04 4.43319E-16  6.335E-10  1.833E-08  1.036E-08  2.074E-17  1.939E-17  1.00E-07
  3.250E-04 4.43319E-16  6.862E-10  1.833E-08  1.036E-08  2.247E-17  2.101E-17  1.00E-07
  3.500E-04 4.43319E-16  7.390E-10  1.833E-08  1.036E-08  2.420E-17  2.262E-17  1.00E-07
  3.750E-04 4.43319E-16  7.918E-10  1.833E-08  1.036E-08  2.593E-17  2.424E-17  1.00E-07
  4.000E-04 4.43319E-16  8.446E-10  1.833E-08  1.036E-08  2.765E-17  2.585E-17  1.00E-07
  4.250E-04 4.43319E-16  8.974E-10  1.833E-08  1.036E-08  2.938E-17  2.747E-17  1.00E-07
  4.500E-04 4.43319E-16  9.502E-10  1.833E-08  1.036E-08  3.111E-17  2.908E-17  1.00E-07
  4.750E-04 4.43319E-16  1.003E-09  1.833E-08  1.036E-08  3.284E-17  3.070E-17  1.00E-07
  5.000E-04 4.43319E-16  1.056E-09  1.833E-08  1.036E-08  3.457E-17  3.232E-17  1.00E-07
  5.250E-04 4.43319E-16  1.109E-09  1.833E-08  1.036E-08  3.630E-17  3.393E-17  1.00E-07
  5.500E-04 4.43319E-16  1.161E-09  1.833E-08  1.036E-08  3.802E-17  3.555E-17  1.00E-07
  5.750E-04 4.43319E-16  1.214E-09  1.833E-08  1.036E-08  3.975E-17  3.716E-17  1.00E-07
  6.000E-04 4.43319E-16  1.267E-09  1.833E-08  1.036E-08  4.148E-17  3.878E-17  1.00E-07
  6.250E-04 4.43319E-16  1.320E-09  1.833E-08  1.036E-08  4.321E-17  4.040E-17  1.00E-07
