    
 E (eV)=   230.000000000000     
       0      4.95181069E-01      0.00000000E+00
       1      2.54800282E-01      2.54893319E-01
       2      1.47990829E-01      1.48030805E-01
       3      8.94947521E-02      8.95163968E-02
       4      5.51299689E-02      5.51426212E-02
       5      3.42950988E-02      3.43027528E-02
       6      2.14532221E-02      2.14579355E-02
       7      1.34634922E-02      1.34664236E-02
       8      8.46502010E-03      8.46685384E-03
       9      5.32759943E-03      5.32875036E-03
      10      3.35453280E-03      3.35525657E-03
      11      2.11240602E-03      2.11286163E-03
      12      1.33005564E-03      1.33034257E-03
      13      8.37234287E-04      8.37415009E-04
      14      5.26829762E-04      5.26943573E-04
      15      3.31372724E-04      3.31444376E-04
      16      2.08340627E-04      2.08385721E-04
      17      1.30929210E-04      1.30957578E-04
      18      8.22439159E-05      8.22617537E-05
      19      5.16390192E-05      5.16502306E-05
      20      3.24088359E-05      3.24158791E-05
      21      2.03313208E-05      2.03357435E-05
      22      1.27494261E-05      1.27522021E-05
      23      7.99180864E-06      7.99355028E-06
      24      5.00766843E-06      5.00876067E-06
      25      3.13666909E-06      3.13735381E-06
      26      1.96404285E-06      1.96447192E-06
      27      1.22938702E-06      1.22965581E-06
      28      7.69285861E-07      7.69454168E-07
      29      4.81231520E-07      4.81336878E-07
      30      3.00949189E-07      3.01015123E-07
      31      1.88152655E-07      1.88193901E-07
      32      1.17600807E-07      1.17626602E-07
      33      7.34848940E-08      7.35010232E-08
      34      4.59069415E-08      4.59170250E-08
      35      2.86717521E-08      2.86780560E-08
      36      1.79031752E-08      1.79071102E-08
      37      1.11766543E-08      1.11791117E-08
      38      6.97592268E-09      6.97746297E-09
      39      4.35310732E-09      4.35406939E-09
      40      2.71585324E-09      2.71644965E-09
      41      1.69408904E-09      1.69445672E-09
      42      1.05654513E-09      1.05678021E-09
      43      6.58779533E-10      6.58922536E-10
      44      4.10650476E-10      4.10741858E-10

  TOTAL ELASTIC CROSS SECTION = 1.315811E-17 cm**2
               FROM DCS TABLE = 1.315773E-17  (REL. DIF. = 2.88E-05)

  1ST TRANSPORT CROSS SECTION = 2.046699E-18 cm**2
               FROM DCS TABLE = 2.046670E-18  (REL. DIF. = 1.43E-05)

  2ND TRANSPORT CROSS SECTION = 4.270834E-18 cm**2
