    
 E (eV)=   296.000000000000     
       0     -3.31238528E-01      0.00000000E+00
       1      1.52909993E+00      1.53120541E+00
       2      8.11761930E-01      8.12262244E-01
       3      4.41117301E-01      4.41317620E-01
       4      2.43626511E-01      2.43722744E-01
       5      1.36884624E-01      1.36934563E-01
       6      7.81568064E-02      7.81838846E-02
       7      4.52429140E-02      4.52580275E-02
       8      2.64911955E-02      2.64998066E-02
       9      1.56595328E-02      1.56645152E-02
      10      9.33058684E-03      9.33350451E-03
      11      5.59698102E-03      5.59870617E-03
      12      3.37658301E-03      3.37761121E-03
      13      2.04701281E-03      2.04762971E-03
      14      1.24618577E-03      1.24655801E-03
      15      7.61394800E-04      7.61620492E-04
      16      4.66643349E-04      4.66780759E-04
      17      2.86762562E-04      2.86846521E-04
      18      1.76629108E-04      1.76680567E-04
      19      1.09010189E-04      1.09041813E-04
      20      6.73935891E-05      6.74130672E-05
      21      4.17267855E-05      4.17388068E-05
      22      2.58683387E-05      2.58757706E-05
      23      1.60547708E-05      1.60593722E-05
      24      9.97371406E-06      9.97656662E-06
      25      6.20113690E-06      6.20290726E-06
      26      3.85833138E-06      3.85943116E-06
      27      2.40215162E-06      2.40283540E-06
      28      1.49636879E-06      1.49679422E-06
      29      9.32575032E-07      9.32839901E-07
      30      5.81446231E-07      5.81611219E-07
      31      3.62654752E-07      3.62757575E-07
      32      2.26264147E-07      2.26328256E-07
      33      1.41208075E-07      1.41248058E-07
      34      8.81475253E-08      8.81724673E-08
      35      5.50370544E-08      5.50526270E-08
      36      3.43702734E-08      3.43799892E-08
      37      2.14676358E-08      2.14737026E-08
      38      1.34106374E-08      1.34144231E-08
      39      8.37863543E-09      8.38100613E-09
      40      5.23537211E-09      5.23685089E-09
      41      3.27160722E-09      3.27252774E-09
      42      2.04462123E-09      2.04520293E-09
      43      1.27793828E-09      1.27829892E-09
      44      7.98781180E-10      7.99004403E-10
      45      4.99263960E-10      4.99404870E-10

  TOTAL ELASTIC CROSS SECTION = 1.272320E-16 cm**2
               FROM DCS TABLE = 1.272296E-16  (REL. DIF. = 1.92E-05)

  1ST TRANSPORT CROSS SECTION = 3.914544E-17 cm**2
               FROM DCS TABLE = 3.914546E-17  (REL. DIF. = 4.74E-07)

  2ND TRANSPORT CROSS SECTION = 5.595754E-17 cm**2
