

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.48000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -6.84166960E-01      0.00000000E+00
       1      1.32201483E+00      1.32319014E+00
       2      7.58681004E-01      7.58985822E-01
       3      4.61680407E-01      4.61818826E-01
       4      2.85389971E-01      2.85466110E-01
       5      1.77519769E-01      1.77564416E-01
       6      1.11025967E-01      1.11052887E-01
       7      6.98213275E-02      6.98378292E-02
       8      4.41403922E-02      4.41506259E-02
       9      2.80408447E-02      2.80472479E-02
      10      1.78920112E-02      1.78960461E-02
      11      1.14619681E-02      1.14645256E-02
      12      7.36937009E-03      7.37099922E-03
      13      4.75369548E-03      4.75473774E-03
      14      3.07564958E-03      3.07631893E-03
      15      1.99541816E-03      1.99584951E-03
      16      1.29783399E-03      1.29811283E-03
      17      8.46051207E-04      8.46231973E-04
      18      5.52683954E-04      5.52801442E-04
      19      3.61722710E-04      3.61799251E-04
      20      2.37145367E-04      2.37195340E-04
      21      1.55711168E-04      1.55743857E-04
      22      1.02381715E-04      1.02403137E-04
      23      6.73998247E-05      6.74138844E-05
      24      4.44191167E-05      4.44283579E-05
      25      2.93022968E-05      2.93083786E-05
      26      1.93465897E-05      1.93505967E-05
      27      1.27830068E-05      1.27856495E-05
      28      8.45174709E-06      8.45349157E-06
      29      5.59123621E-06      5.59238865E-06
      30      3.70069885E-06      3.70146070E-06
      31      2.45044137E-06      2.45094530E-06
      32      1.62316567E-06      1.62349918E-06
      33      1.07551265E-06      1.07573346E-06
      34      7.12822011E-07      7.12968265E-07
      35      4.72542489E-07      4.72639394E-07
      36      3.13312828E-07      3.13377050E-07
      37      2.07767769E-07      2.07810346E-07
      38      1.37793309E-07      1.37821537E-07
      39      9.13938121E-08      9.14125319E-08
      40      6.06224523E-08      6.06348661E-08
      41      4.02133112E-08      4.02215445E-08
      42      2.66758996E-08      2.66813644E-08
      43      1.76959198E-08      1.76995402E-08
      44      1.17388874E-08      1.17412912E-08
      45      7.78704519E-09      7.78864193E-09
      46      5.16549348E-09      5.16655100E-09
      47      3.42639695E-09      3.42709364E-09
      48      2.27266329E-09      2.27313164E-09
      49      1.50732525E-09      1.50763327E-09
      50      9.99701604E-10      9.99908020E-10
      51      6.62999157E-10      6.63132393E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.45406E-16  0.000E+00  1.841E-08  1.032E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.45406E-16  2.097E-10  1.841E-08  1.032E-08  7.181E-18  6.559E-18  1.00E-07
  1.250E-04 4.45406E-16  2.621E-10  1.841E-08  1.032E-08  8.976E-18  8.199E-18  1.00E-07
  1.500E-04 4.45406E-16  3.145E-10  1.841E-08  1.032E-08  1.077E-17  9.839E-18  1.00E-07
  1.750E-04 4.45406E-16  3.669E-10  1.841E-08  1.032E-08  1.257E-17  1.148E-17  1.00E-07
  2.000E-04 4.45406E-16  4.193E-10  1.841E-08  1.032E-08  1.436E-17  1.312E-17  1.00E-07
  2.250E-04 4.45406E-16  4.717E-10  1.841E-08  1.032E-08  1.616E-17  1.476E-17  1.00E-07
  2.500E-04 4.45406E-16  5.242E-10  1.841E-08  1.032E-08  1.795E-17  1.640E-17  1.00E-07
  2.750E-04 4.45406E-16  5.766E-10  1.841E-08  1.032E-08  1.975E-17  1.804E-17  1.00E-07
  3.000E-04 4.45406E-16  6.290E-10  1.841E-08  1.032E-08  2.154E-17  1.968E-17  1.00E-07
  3.250E-04 4.45406E-16  6.814E-10  1.841E-08  1.032E-08  2.334E-17  2.132E-17  1.00E-07
  3.500E-04 4.45406E-16  7.338E-10  1.841E-08  1.032E-08  2.513E-17  2.296E-17  1.00E-07
  3.750E-04 4.45406E-16  7.862E-10  1.841E-08  1.032E-08  2.693E-17  2.460E-17  1.00E-07
  4.000E-04 4.45406E-16  8.386E-10  1.841E-08  1.032E-08  2.872E-17  2.624E-17  1.00E-07
  4.250E-04 4.45406E-16  8.911E-10  1.841E-08  1.032E-08  3.052E-17  2.788E-17  1.00E-07
  4.500E-04 4.45406E-16  9.435E-10  1.841E-08  1.032E-08  3.231E-17  2.952E-17  1.00E-07
  4.750E-04 4.45406E-16  9.959E-10  1.841E-08  1.032E-08  3.411E-17  3.116E-17  1.00E-07
  5.000E-04 4.45406E-16  1.048E-09  1.841E-08  1.032E-08  3.590E-17  3.280E-17  1.00E-07
  5.250E-04 4.45406E-16  1.101E-09  1.841E-08  1.032E-08  3.770E-17  3.444E-17  1.00E-07
  5.500E-04 4.45406E-16  1.153E-09  1.841E-08  1.032E-08  3.949E-17  3.608E-17  1.00E-07
  5.750E-04 4.45406E-16  1.206E-09  1.841E-08  1.032E-08  4.129E-17  3.772E-17  1.00E-07
  6.000E-04 4.45406E-16  1.258E-09  1.841E-08  1.032E-08  4.308E-17  3.936E-17  1.00E-07
  6.250E-04 4.45406E-16  1.310E-09  1.841E-08  1.032E-08  4.488E-17  4.100E-17  1.00E-07
