    
 E (eV)=   264.000000000000     
       0     -2.54050159E-01      0.00000000E+00
       1      1.56059025E+00      1.56266759E+00
       2      8.05042565E-01      8.05514889E-01
       3      4.22363888E-01      4.22545247E-01
       4      2.25579107E-01      2.25663039E-01
       5      1.22908430E-01      1.22950596E-01
       6      6.81871746E-02      6.82093792E-02
       7      3.83993062E-02      3.84113634E-02
       8      2.18894651E-02      2.18961548E-02
       9      1.26030628E-02      1.26068341E-02
      10      7.31641942E-03      7.31857187E-03
      11      4.27676947E-03      4.27801014E-03
      12      2.51453728E-03      2.51525820E-03
      13      1.48573591E-03      1.48615764E-03
      14      8.81551955E-04      8.81800068E-04
      15      5.24939644E-04      5.25086318E-04
      16      3.13544730E-04      3.13631794E-04
      17      1.87769806E-04      1.87821667E-04
      18      1.12700034E-04      1.12731019E-04
      19      6.77726474E-05      6.77912070E-05
      20      4.08223133E-05      4.08334549E-05
      21      2.46236118E-05      2.46303128E-05
      22      1.48706558E-05      1.48746926E-05
      23      8.98998099E-06      8.99241617E-06
      24      5.43969683E-06      5.44116758E-06
      25      3.29400440E-06      3.29489359E-06
      26      1.99600410E-06      1.99654217E-06
      27      1.21017271E-06      1.21049855E-06
      28      7.34088743E-07      7.34286189E-07
      29      4.45488578E-07      4.45608295E-07
      30      2.70449903E-07      2.70522524E-07
      31      1.64239813E-07      1.64283885E-07
      32      9.97684642E-08      9.97952229E-08
      33      6.06200267E-08      6.06362781E-08
      34      3.68411296E-08      3.68509995E-08
      35      2.23940179E-08      2.24000128E-08
      36      1.36145945E-08      1.36182391E-08
      37      8.27829617E-09      8.28051172E-09
      38      5.03418513E-09      5.03553463E-09
      39      3.06172527E-09      3.06254628E-09
      40      1.86231739E-09      1.86281406E-09
      41      1.13286876E-09      1.13316871E-09
      42      6.89160961E-10      6.89346515E-10
      43      4.19239701E-10      4.19350615E-10

  TOTAL ELASTIC CROSS SECTION = 1.368857E-16 cm**2
               FROM DCS TABLE = 1.368831E-16  (REL. DIF. = 1.87E-05)

  1ST TRANSPORT CROSS SECTION = 4.594932E-17 cm**2
               FROM DCS TABLE = 4.594936E-17  (REL. DIF. = 9.84E-07)

  2ND TRANSPORT CROSS SECTION = 6.273519E-17 cm**2
